Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,oppelo,wins,losses,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,Ethnicity
Valeri Ignatov,0,2,969.438774,2,0,0,2016,0,2,3998,0,0,2.54082397,-301,14.35955056,-334,0,-21,0.266666667,3,0,0,0,0,2.007490637,-188,0.533333333,-112,0,-1,1.670411985,-34,0.870411985,-1,0,-266,0.15893633,-1.981228632,1.648771368,0.356039326,-0.426175958,1.261324042,0,-3.222222222,1.777777778,0.142240677,-1.754560657,2.125874126,0.266666667,-0.8,0.2,0,-1,4,0.108760154,-1.248977874,2.699074074,0.603745318,2.4,2.4,0,-3.735828877,1.264171123,European
Mike Whitehead,1981,1,984.7363068,1,0,0,1016,0,1,25,0,0,1.8,-17,2.466666667,-53,0.333333333,5,0,0,0,0,0.425555556,6.383333333,1,-20,0.533333333,6,0.266666667,-3,1.466666667,-16,0.2,-3,0.133333333,2,0.024657534,0.033985151,0.664122137,0.029718876,-0.062691444,0.491525424,0.027777778,0.416666667,1,0.017241379,-0.033045977,0.708333333,0.059259259,0.222222222,0.333333333,0.044444444,-0.208333333,0.125,0.023280423,0.018771567,0.669565217,0.028571429,0.053571429,0.625,0.044444444,0.666666667,1,North American
Jake Rosholt,1982,3,989.0125489,1,0,0,3099.053365,1,2,81,0,0,20.50618086,46,33.79519565,-182,8.774101891,27,2.607240313,2,0,-1,5.954593992,5.333333333,11.98880775,49,4.518828452,0,3.998544661,-3,4.778467909,-3,9.385482991,21,6.342229961,28,1.591526114,1.239341085,8.989341085,1.889055688,-2.064880952,4.75,2.431620711,-2.75,1,1.195633405,1.866858238,11.33908046,1.506276151,-3,5,2.549269298,9.871794872,11.53846154,0.623347667,0.992307692,12.8,1.92347341,-1.466666667,4,1.470131227,-6.397435897,1.333333333,North American
Eric Wisely,1984,2,967.519889,2,0,0,1973.890206,0,2,56,0,0,10.76504854,-36,33.21423948,-64,0,-17,0,-2,0,0,0.098252427,-33.95,4,-18,3.515857605,20,3.249190939,-38,9.965048544,59,0.8,-20,0,-75,0.430392571,0.040444894,2.453488372,0.549939192,0.095840849,1.489471422,0,-3.666666667,1.333333333,0.085106383,-0.413880446,3.30952381,0.557928803,0,0.5,0.824948514,0.71969697,1.083333333,0.424595469,0.566666667,3.066666667,0.266666667,0,1,0,-3.428571429,1.571428571,North American
Gabe Green,1993,5,987.1852702,2,0,0,5075.032754,2,3,143,0.533333333,-42,813.8133544,-214,848.0578809,23,1.6,-19,0.266666667,-5,0,-8,3.986367364,4.35,286.9231067,-856,260.2377438,232,266.652504,410,796.6576349,-227,5.185239852,-13,11.9704797,26,54.6063606,0.679494288,29.97537705,54.7028293,1.391373059,29.40882002,0.533333333,-6.833333333,40.16666667,27.45153252,-7.701013923,32.63886445,108.9220908,23.70041424,31.84193723,109.2456502,23.97224656,28.375,54.54678136,1.839458337,31.74733201,0.982762256,-19.81428571,25.2,0.823640139,-33.80364372,12.5,North American
Marcelo Golm,1992,4,966.7936635,3,0,0,3970.185896,1,3,104,0,-16,130.6668561,-267,153.8918561,-709,0.46875,-8,0.46875,1,0,0,1.205069444,-76.18333333,94.04848485,-392,9.935416667,6,26.68295455,119,89.06306818,-66,32.22878788,-140,9.375,-61,5.629698929,-4.714440767,12.14315821,5.706346088,-5.636337808,10.21196384,0.46875,-3.5,25.5,5.107793471,-6.365498402,13.01170347,1.177907509,-1.487637363,16.875,15.84557709,19.3872549,19.91666667,4.796330691,-4.566119175,14.27077922,15.54307982,5.853416518,7.727272727,0.407608696,-6.494071146,22.63636364,South American
Alvaro Herrera Mendoza,1990,4,966.0024899,3,0,0,3954.53132,1,3,106,2,-15,82.33915367,-166,82.79028149,-275,0,-16,4.462809917,-4,0,0,1.461904762,-25.83333333,46.24892811,-29,35.63909774,-16,0.45112782,-121,70.41434164,-115,1.353383459,4,10.57142857,-55,4.980885929,-4.254875157,16.01353276,4.98988278,-5.014232658,15.17440318,0,-3.2,26.8,3.689219112,-3.23625731,19.69774436,8.909774436,5.571428571,16.57142857,0.45112782,-19.25,6.75,4.539279163,-4.218803695,16.90591398,0.45112782,1.333333333,27.33333333,10.57142857,-1,12,North American
Dokonjonosuke Mishima,1972,2,970.2939348,2,0,0,2034.720759,0,2,69,0,0,2.192871052,-128,10.8633195,-260,0.759179296,1,0.573476703,1,0,0,1.299344302,-21.35,1.146953405,-84,0.759179296,-4,0.286738351,-40,0.860215054,-48,0.573476703,-9,0.759179296,-71,0.142277914,-2.244444444,1.888888889,0.356475078,-1.455911904,1.151515152,0.50111478,-2.6,1,0.03823178,-1.221052632,3.245614035,0.544125533,-1.666666667,1.333333333,0.143369176,-1.666666667,1.333333333,0.033085194,-1.538461538,3,0.114695341,-2.6,0.8,0.214827985,-0.920720721,2.945945946,Asian
Cathal Pendred,1987,6,1024.628244,2,0,0,6035.505082,4,2,166,0,-46,177.4757194,-773,266.4540165,-669,7.284210526,106,1.783625731,24,0,0,15.39454761,145.0833333,51.54771465,-1631,53.0798784,187,72.84812633,671,118.4461334,-862,58.91262693,147,0.116959064,-58,3.365952689,-15.15997478,42.42642206,4.338299594,-11.39778436,37.92369085,0.54020345,7.400420168,90.75,1.643876044,-28.46769408,47.55977583,9.478632084,-5.12326168,25.11739766,4.653391038,8.365091413,46.13492063,2.574486798,-19.16202269,44.44519859,10.40353569,9.028133903,25.31980057,0.116959064,-29.16666667,60.83333333,European
Jason Tan,1981,2,970.223228,2,0,0,2033.95131,0,2,53,0,-1,5.568,-303,12.48,-559,0,-12,0,0,0,0,0.6976,-22.78333333,0.384,-301,0,-12,5.184,10,5.568,-3,0,-84,0,-216,0.424087912,-2.957716197,1.00931677,0.609230769,-1.315604396,0.722857143,0,-4,1,0.029538462,-3.661007532,1.031300161,0,-4,1,0.984,4.75,5,0.428307692,-0.811965812,3.111111111,0,-4,1,0,-4.419354839,0.580645161,Asian
