Red Fighter,Blue Fighter,Probability Win,Probability Lose
Josh Emmett,Ilia Topuria,0.30838003936381125,0.6916199606361888
Alexandr Romanov,Blagoy Ivanov,0.5575195792803846,0.44248042071961535
Rinat Fakhretdinov,Kevin Lee,0.5867908167030498,0.4132091832969502
Max Griffin,Michael Morales,0.3784450829396965,0.6215549170603036
Grant Dawson,Damir Ismagulov,0.7011145491013784,0.29888545089862156
Jimmy Crute,Alonzo Menifield,0.49160037385569233,0.5083996261443077
Robbie Lawler,Niko Price,0.32988415126378823,0.6701158487362118
Dan Hooker,Jalin Turner,0.5091576645017352,0.49084233549826484
Robert Whittaker,Dricus Du Plessis,0.3604701895376359,0.6395298104623641
Brandon Moreno,Alexandre Pantoja,0.5921022059409976,0.4078977940590023
Yair Rodriguez,Alexander Volkanovski,0.2912860684733757,0.7087139315266244
Genaro Valdez,Evan Elder,0.3335335951496666,0.6664664048503335
Melsik Baghdasaryan,Tucker Lutz,0.6398981237831821,0.3601018762168179
Albert Duraev,JunYong Park,0.37584080055380265,0.6241591994461974
Makhmud Muradov,Bryan Barberena,0.4921309441089698,0.5078690558910302
Marc Diakiese,Joel Alvarez,0.47389970511989754,0.5261002948801023
Lerone Murphy,Josh Culibao,0.5713760483488225,0.4286239516511775
Fares Ziam,Jai Herbert,0.6687181161326665,0.3312818838673335
Paul Craig,Andre Muniz,0.3535299605370989,0.646470039462901
Andre Fili,Nathaniel Wood,0.24140617480585616,0.7585938251941438
Marcin Tybura,Tom Aspinall,0.3107878547550878,0.6892121452449123
Matthew Semelsberger,Uros Medic,0.4365453675131109,0.5634546324868891
Claudio Ribeiro,Roman Kopylov,0.4200109251327914,0.5799890748672085
Michael Chiesa,Kevin Holland,0.4739391242328293,0.5260608757671708
Bobby Green,Tony Ferguson,0.6132569059368371,0.3867430940631628
Derrick Lewis,Marcos Rogerio de Lima,0.31658718745677145,0.6834128125432286
Alex Pereira,Jan Blachowicz,0.5623500347867023,0.4376499652132977
Dustin Poirier,Justin Gaethje,0.5124184782508715,0.4875815217491285
Cody Durden,Jake Hadley,0.5512335257953411,0.4487664742046589
Damon Jackson,Billy Quarantillo,0.5289099889055217,0.47109001109447846
Carlston Harris,Jeremiah Wells,0.46374310340326064,0.5362568965967394
Raoni Barcelos,Kyler Phillips,0.3648329401782446,0.6351670598217555
Ignacio Bahamondes,Ludovit Klein,0.7021090085104332,0.29789099148956666
Tanner Boser,Aleksa Camur,0.42158048211502297,0.5784195178849769
Kennedy Nzechukwu,Dustin Jacoby,0.5315403484758694,0.46845965152413066
Cory Sandhagen,Rob Font,0.5863628021826732,0.4136371978173269
Martin Buday,Josh Parisian,0.6854018446288872,0.3145981553711129
Terrance McKinney,Mike Breeden,0.5873390079217737,0.4126609920782263
Josh Fremd,Jamie Pickett,0.6029722067662436,0.39702779323375637
AJ Dobson,Tafon Nchukwi,0.41242844876818746,0.5875715512318125
Khalil Rountree Jr.,Chris Daukaus,0.4131062603756499,0.5868937396243499
Hakeem Dawodu,Cub Swanson,0.5407071892044352,0.45929281079556483
Vicente Luque,Rafael Dos Anjos,0.45204885969624337,0.5479511403037566
Gerald Meerschaert,Andre Petroski,0.38031793782386025,0.6196820621761396
Brad Katona,Cody Gibson,0.5947789491054518,0.4052210508945482
Kurt Holobaugh,Austin Hubbard,0.2852489902357863,0.7147510097642137
Denis Tiuliulin,Gregory Rodrigues,0.24272962115617713,0.7572703788438229
Brad Tavares,Chris Weidman,0.5043572183809888,0.49564278161901126
