Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,height,reach,southpaw,oppelo,wins,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,last_fight
Mana Martinez,1996,4,995.3691969807797,1,0,0,70,70,0,3950.718281249813,2,104,1.7333333333333334,-2.0,131.86666666666667,-828.0,153.26666666666665,-1113.0,0.7333333333333333,-38.0,0.26666666666666666,4.0,0.26666666666666666,-1.0,0.56,-104.18333333333334,78.4,-408.0,35.2,-21.0,18.266666666666666,-399.0,124.4,-291.0,4.133333333333333,19.0,3.333333333333333,-556.0,13.853025237129366,-0.575387313912868,15.571587448957766,14.346351084812625,-1.3999513673721808,14.253697547815195,2.9166666666666665,-19.511904761904763,7.571428571428573,10.854261501210654,-0.36651623266188893,18.779222266127455,23.564616755793228,2.613739562810771,9.049122807017543,28.419298245614037,2.5132376395534286,4.093939393939394,13.695678924250354,0.02708080437412963,16.331401880123778,14.149999999999999,2.066666666666667,17.916666666666668,12.212121212121211,-6.561829474872953,11.226049313005836,2023-03-04 00:00:00
Zach Reese,1994,8,997.3243499994813,2,0,0,76,77,0,8007.858253419223,4,246,12.0,-60.0,941.7629301941165,4.0,1334.7518524680308,657.0,25.881407035175883,28.0,9.844261060654958,70.0,0.6,-52.0,21.948458961474035,-104.33333333333334,535.647312349542,-676.0,233.66901172529316,-515.0,172.44660611928143,1195.0,708.2415518624903,1884.0,112.00202087421552,-1408.0,121.51935745741072,-472.0,112.86853697551372,-5.160772293521577,85.9706907309647,119.55487815687557,-6.098837069505099,78.34628477361932,74.0,3.8076923076922995,133.80769230769232,85.89703438560174,-19.342197610472354,98.7607680039259,170.4233409610984,43.55841814806237,77.13507718696398,175.66483516483515,53.248168498168496,81.58333333333334,106.10043301572257,14.858887409625872,112.75845439390332,82.76190476190476,-22.662337662337666,98.57575757575758,39.2,-74.48373015873017,90.31626984126984,2026-07-11 00:00:00
Alexander Hernandez,1992,18,1051.7307925175485,1,0,0,69,72,0,18905.712340968697,10,539,165.58200021455858,662.0,9692.612257718769,-5935.0,10891.499111767986,-17546.0,90.08390001552554,-1135.0,10.526315789473685,-331.0,8.333333333333334,125.0,202.3333751506455,498.16666666666674,6137.7606815809895,-523.0,2298.8394377784543,587.0,1256.0121383593241,-5999.0,8294.050002450556,-6986.0,507.90409739065615,-5731.0,890.6581578775547,6782.0,870.6916119693441,98.98137946193779,1337.2897674925937,929.0781578860036,82.48964295995786,1262.4114850739543,229.93333333333334,-258.97142857142853,1620.0952380952383,713.8582518769304,146.5695616156938,1541.7113097387635,1448.2483304999093,247.64177927335822,908.3934487734488,1113.9477845683728,-604.9103392150842,390.1418762165431,811.760497066316,69.3766699115551,1366.6161728452391,686.1232561641257,-351.9824256540561,1070.8943181818183,978.8700832964765,687.4950832964765,1817.625,2026-04-25 00:00:00
Dennis Hallman,1975,9,999.6534890451201,0,1,0,69,72,0,9310.868212671998,4,286,27.47663551401869,24.0,918.7592391583978,-270.0,1979.148995675121,210.0,53.57035096940132,276.0,54.83231175371504,218.0,3.3519553072625694,-30.0,157.33289701189457,596.5,779.9858507883785,171.0,127.26907464452913,-375.0,11.504313725490196,-66.0,71.2268957404922,-890.0,185.73579073774343,-85.0,661.7965526801622,705.0,121.65629571577847,-1.3126043131427565,162.03109997107876,191.65155896734845,43.460656169447674,136.80909720209922,124.83333333333333,107.16666666666667,267.33333333333337,106.79057895885626,-6.129867882087467,172.07955315905627,101.21666666666667,-37.76111111111111,146.02222222222224,47.5,15.15,252.65,41.4017316017316,-20.26391647568118,223.33435192258722,93.0,45.23824451410658,237.23824451410658,125.5340909090909,38.7280303030303,198.1939393939394,2011-12-10 00:00:00
Mark Godbeer,1983,4,999.5814128115566,1,0,0,76,77,0,3996.8592049435783,2,136,0.0,0.0,73.25361190738897,-60.0,170.98526109864437,198.0,0.0,-46.0,0.0,-33.0,1.6871704745166958,0.0,6.274951009108974,-41.4,36.78943138266929,-244.0,29.986813971771603,149.0,6.477366552948068,35.0,37.764278896367216,52.0,11.868946367788006,8.0,23.62038664323374,-120.0,14.836516647295092,-3.109894835958497,12.053588516746412,19.32817182817183,-0.7096632846136515,9.96216488721452,0.0,-22.666666666666664,7.333333333333334,10.853083853083852,-6.523268883531515,12.623647263384632,27.9,8.07857142857143,10.178571428571429,20.0,1.1428571428571428,11.142857142857142,10.413002076630908,-2.4426818486293977,17.144316074739695,23.88,2.418461538461538,8.538461538461538,14.0,-9.357142857142858,6.642857142857142,2018-03-17 00:00:00
Yao Zhikui,1991,4,963.1970327198103,2,0,0,65,64,0,4020.0,1,96,0.0,-32.0,47.406060606060606,-613.0,57.80606060606061,-787.0,1.3333333333333333,-8.0,0.0,-16.0,0.13333333333333333,-2.0,2.8902020202020204,8.96666666666667,31.872727272727275,-656.0,4.6,-6.0,10.933333333333334,49.0,24.2,-595.0,14.33939393939394,-72.0,8.866666666666667,54.0,5.978253891831166,-10.170876130313726,13.850869977855108,6.757518796992481,-10.597088379148364,12.645392823859156,3.333333333333333,-17.916666666666668,8.75,4.83940778693254,-9.689386196414224,15.471206016653236,11.476190476190474,1.6190476190476188,20.142857142857142,14.0,0.5151515151515156,16.515151515151516,3.545105105105105,-12.355223586020234,14.099671308874662,22.42857142857143,13.607142857142858,21.17857142857143,11.0,-1.2500000000000004,17.75,2016-11-26 00:00:00
Marlon Moraes,1988,11,1024.6816889801862,4,0,0,66,67,0,12091.797030059077,5,341,63.44399430050193,-111.0,1849.3673194769676,-8624.0,2010.9497552216149,-26285.0,56.93122898993944,-165.0,7.88087986463621,-7.0,0.0,-81.0,73.4738260179015,-435.23333333333335,1571.9477271215574,-6673.0,84.81760248888445,-2284.0,192.60198986652588,333.0,1548.0458936616997,-948.0,18.73462054170019,-602.0,282.58680527356773,-7074.0,255.9663669658002,3.8452161786469707,253.87884921284677,261.67960511769047,-10.08869867205582,234.2316962102537,144.5,33.5,395.0,250.74852948270748,25.855152747117238,281.10662326440973,135.21980676328502,-226.64432812143806,144.13586511527689,212.17780748663102,-51.53116687234335,242.29102564102564,256.943916217023,46.02667305642382,295.08275683940076,135.0,-27.90579710144928,343.09420289855075,200.33333333333334,-15.893693693693695,289.772972972973,2022-03-12 00:00:00
Jesse Forbes,1984,3,939.6491406092755,3,0,0,74,75,1,2933.9106611967127,0,74,8.181818181818182,9.0,34.96032097983317,-24.0,38.55706894731284,-177.0,8.181818181818182,0.0,8.181818181818182,0.0,0.0,0.0,5.074949494949495,0.18333333333333357,30.181691479252454,-14.0,4.360511033681766,22.0,0.4181184668989547,-32.0,21.769443564565513,-30.0,5.009059233449477,9.0,8.181818181818182,-3.0,4.228571428571429,-2.2016470180305134,7.569781553398059,4.523809523809524,-2.6282051282051286,6.8479853479853485,9.0,7.111111111111111,12.11111111111111,4.152304964539007,-1.7372532683927198,8.110441767068274,3.6973684210526314,-0.5753588516746415,9.727272727272727,1.0,-3.5555555555555554,9.444444444444445,3.8619975134687112,-2.125015473544276,8.012987012987013,2.6818181818181817,-0.16028708133971303,11.157894736842106,3.0,0.2727272727272725,11.272727272727273,2010-05-29 00:00:00
Sanae Kikuta,1971,1,1022.1654608175613,0,1,0,69,69,0,1037.7659489437324,1,29,0.0,0.0,1.7266187050359711,4.0,4.316546762589928,-6.0,0.4316546762589928,2.0,0.4316546762589928,1.0,0.0,0.0,0.7805755395683452,3.6166666666666667,1.5107913669064748,3.0,0.0,0.0,0.2158273381294964,1.0,0.2158273381294964,-2.0,0.0,-1.0,1.5107913669064748,7.0,0.5,-0.30000000000000004,0.19999999999999996,0.6060606060606061,-0.18181818181818177,0.21212121212121215,1.0,1.0,1.0,0.4666666666666667,-0.33333333333333337,0.19999999999999996,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.0,-1.0,0.0,0.4666666666666667,0.4666666666666667,1.0,2000-04-14 00:00:00
Court McGee,1984,24,988.6762950390778,1,0,1,71,75,0,24521.37211675766,11,796,52.13333333333333,-717.0,18161.051128322306,12610.0,25965.367149401878,51317.0,589.5765425654246,3652.0,222.83174015913428,318.0,13.066666666666666,196.0,1402.5155369611155,11692.583333333332,7885.197202518262,-43719.0,5152.915832298198,15081.0,5122.938093505848,41248.0,16055.884489838658,9921.0,909.2838444667233,-11025.0,1195.8827940169276,13714.0,1976.453141912111,-167.51164057770603,2756.035217510183,2267.0595468266165,-235.1783685022306,2397.762084671153,1635.6964951714951,1051.8917332667334,4316.195238095238,1214.4739125783456,-461.18769317234694,3224.3383942493074,2789.384340331631,-165.91759778872785,1944.6980618796408,4069.374431926586,957.3233396155985,1787.9489076890127,1857.258790699784,-158.91473701585858,2883.8264722843574,2200.6588578088576,121.74981908188423,2821.0909612730266,1630.6168576296366,768.4227399825777,4037.8058823529414,2025-06-14 00:00:00
