Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Date,Red Fighter,Red KD,Red Sig. str.,Red Total str.,Red Td,Red Sub. att,Red Rev.,Red Ctrl,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Total str.,Blue Td,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground,Red Sig. str.%,Red Total str.%,Red Td%,Red Head%,Red Body%,Red Leg%,Red Distance%,Red Clinch%,Red Ground%,Blue Sig. str.%,Blue Total str.%,Blue Td%,Blue Head%,Blue Body%,Blue Leg%,Blue Distance%,Blue Clinch%,Blue Ground%
Welterweight Bout,Michael Morales,Jake Matthews,False,Decision - Unanimous,3,5.0,,Herb Dean,,"November 18, 2023",Michael Morales,0.0,84.0,84.0,0.0,0.0,0.0,0.11666666666666667,45.0,12.0,27.0,80.0,4.0,0.0,Jake Matthews,0.0,57.0,57.0,0.0,0.0,0.0,0.05,33.0,17.0,7.0,54.0,3.0,0.0,0.40384615384615385,0.40384615384615385,0.0,0.28662420382165604,0.7058823529411765,0.7941176470588235,0.40609137055837563,0.36363636363636365,0.0,0.3825503355704698,0.3825503355704698,0.0,0.30275229357798167,0.7083333333333334,0.4375,0.3698630136986301,1.0,0.0
Lightweight Bout,Chase Hooper,Jordan Leavitt,False,Submission,1,2.966666666666667,,Mike Beltran,,"November 18, 2023",Chase Hooper,0.0,1.0,13.0,0.0,1.0,0.0,0.95,1.0,0.0,0.0,0.0,0.0,1.0,Jordan Leavitt,0.0,3.0,5.0,0.0,0.0,1.0,0.9833333333333333,2.0,1.0,0.0,0.0,1.0,2.0,0.3333333333333333,0.7222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.75,0.5,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.6666666666666666
Bantamweight Bout,Payton Talbott,Nick Aguirre,False,Submission,3,0.9666666666666667,,Mark Smith,,"November 18, 2023",Payton Talbott,0.0,28.0,58.0,0.0,1.0,0.0,3.4166666666666665,22.0,4.0,2.0,12.0,0.0,16.0,Nick Aguirre,0.0,5.0,18.0,2.0,0.0,0.0,5.766666666666667,4.0,1.0,0.0,5.0,0.0,0.0,0.5283018867924528,0.6444444444444445,0.0,0.4782608695652174,0.8,1.0,0.4444444444444444,0.0,0.6153846153846154,0.4166666666666667,0.6206896551724138,0.2,0.36363636363636365,1.0,0.0,0.5555555555555556,0.0,0.0
Welterweight Bout,Myktybek Orolbai,Uros Medic,False,Submission,2,4.2,,Mike Beltran,,"November 18, 2023",Uros Medic,0.0,14.0,17.0,0.0,0.0,0.0,0.03333333333333333,10.0,4.0,0.0,5.0,8.0,1.0,Myktybek Orolbai,0.0,8.0,16.0,7.0,1.0,0.0,7.433333333333334,6.0,0.0,2.0,3.0,1.0,4.0,0.5185185185185185,0.53125,0.0,0.5,0.5714285714285714,0.0,0.35714285714285715,0.6666666666666666,1.0,0.4,0.5161290322580645,0.7,0.375,0.0,0.5,0.375,1.0,0.36363636363636365
Featherweight Bout,Joanderson Brito,Jonathan Pearce,False,Submission,2,3.9,,Herb Dean,,"November 18, 2023",Jonathan Pearce,0.0,14.0,81.0,1.0,0.0,1.0,6.25,6.0,2.0,6.0,3.0,7.0,4.0,Joanderson Brito,0.0,8.0,33.0,1.0,1.0,0.0,1.9666666666666666,4.0,3.0,1.0,4.0,2.0,2.0,0.875,0.84375,0.25,1.0,0.5,1.0,0.75,0.875,1.0,0.4,0.7021276595744681,1.0,0.26666666666666666,0.75,1.0,0.3333333333333333,0.6666666666666666,0.4
Bantamweight Bout,Jose Johnson,Chad Anheliger,False,Submission,3,4.816666666666666,,Chris Tognoni,,"November 18, 2023",Chad Anheliger,0.0,26.0,47.0,4.0,0.0,1.0,6.3,14.0,6.0,6.0,19.0,4.0,3.0,Jose Johnson,0.0,63.0,141.0,1.0,1.0,2.0,4.333333333333333,42.0,15.0,6.0,25.0,10.0,28.0,0.36619718309859156,0.4563106796116505,0.5,0.2857142857142857,0.46153846153846156,0.6666666666666666,0.35185185185185186,0.6666666666666666,0.2727272727272727,0.5833333333333334,0.7121212121212122,0.5,0.5384615384615384,0.8333333333333334,0.5,0.4716981132075472,0.5882352941176471,0.7368421052631579
Middleweight Bout,Christian Leroy Duncan,Denis Tiuliulin,False,KO/TKO,2,4.4,,Mike Beltran,,"November 18, 2023",Christian Leroy Duncan,1.0,65.0,90.0,0.0,0.0,0.0,4.85,44.0,8.0,13.0,46.0,16.0,3.0,Denis Tiuliulin,0.0,30.0,37.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,26.0,4.0,0.0,0.7471264367816092,0.7317073170731707,0.0,0.676923076923077,0.8888888888888888,1.0,0.7076923076923077,0.9411764705882353,0.6,0.4225352112676056,0.4567901234567901,0.0,0.3333333333333333,0.75,0.8333333333333334,0.3939393939393939,0.8,0.0
Heavyweight Bout,Mick Parkin,Caio Machado,False,Decision - Unanimous,3,5.0,,Mark Smith,,"November 18, 2023",Mick Parkin,0.0,39.0,69.0,3.0,0.0,1.0,6.383333333333334,33.0,2.0,4.0,34.0,3.0,2.0,Caio Machado,0.0,76.0,103.0,0.0,0.0,0.0,0.3333333333333333,41.0,24.0,11.0,68.0,6.0,2.0,0.3979591836734694,0.49640287769784175,0.3,0.3626373626373626,0.6666666666666666,1.0,0.3695652173913043,1.0,0.6666666666666666,0.5757575757575758,0.6280487804878049,0.0,0.43157894736842106,0.9230769230769231,1.0,0.5619834710743802,0.6666666666666666,1.0
Featherweight Bout,Jeka Saragih,Lucas Alexander,False,KO/TKO,1,1.5166666666666666,,Herb Dean,,"November 18, 2023",Jeka Saragih,1.0,4.0,4.0,1.0,0.0,0.0,0.08333333333333333,3.0,1.0,0.0,2.0,0.0,2.0,Lucas Alexander,0.0,11.0,11.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,11.0,0.0,0.0,0.4444444444444444,0.4444444444444444,1.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6875,0.6875,0.0,0.6,0.6666666666666666,1.0,0.6875,0.0,0.0
Lightweight Bout,,,False,Overturned,3,3.183333333333333,,Mike Beltran,,"November 18, 2023",Trey Ogden,0.0,58.0,96.0,3.0,1.0,0.0,4.466666666666667,49.0,6.0,3.0,44.0,13.0,1.0,Nikolas Motta,0.0,14.0,16.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,14.0,0.0,0.0,0.6987951807228916,0.75,0.1875,0.6621621621621622,1.0,1.0,0.676923076923077,0.7647058823529411,1.0,0.175,0.1951219512195122,0.0,0.1095890410958904,0.8333333333333334,1.0,0.175,0.0,0.0
