id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_opponentexp,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_opponentexp,result,method,round,time
8003,WEC 50: Cruz vs. Benavidez,"Aug. 18, 2010",Mackens Semerzier,145 lbs.,"5' 9""","72""","Nov 03, 1980",0,-3,-2.5,2.5,0.5,0,2,1,8-4-0 (1 NC),0,1.0,Javier Vazquez,145 lbs.,"5' 7""","69""","Jul 16, 1977",0,-0.3333333333333333,2.3333333333333335,1,0.3333333333333333,1,3,1,16-5-0,0,0.7006802721088435,loss,SUB,2,1:35
8004,WEC 52: Faber vs. Mizugaki,"Nov. 11, 2010",Mackens Semerzier,145 lbs.,"5' 9""","72""","Nov 03, 1980",0,-9,-2.3333333333333335,1,0.3333333333333333,0,3,1,8-4-0 (1 NC),0,0.7777777777777778,Cub Swanson,145 lbs.,"5' 8""","70""","Nov 02, 1983",-0.14285714285714285,6.428571428571429,-1.4285714285714286,0.7142857142857143,0.5714285714285714,0,7,4,29-13-0,0,0.7006802721088435,loss,S-DEC,3,5:00
8005,UFC Fight Night: Nogueira vs Davis,"Mar. 26, 2011",Mackens Semerzier,145 lbs.,"5' 9""","72""","Nov 03, 1980",0,-11.25,-2,1,0.25,0,4,1,8-4-0 (1 NC),0,0.7261904761904763,Alex Caceres,,,,,,,,,,,,,,,,win,SUB,1,3:18
8006,WEC 26: Condit vs. Alessio,"Mar. 24, 2007",Alex Serdyukov,170 lbs.,"6' 2""","74""","May 24, 1980",-1,35,0,-2,0.0,0,1,0,8-5-0,0,0.0,Scott Norton,,,,,,,,,,,,,,,,win,SUB,2,0:57
8007,WEC 33: Marshall vs. Stann,"Mar. 26, 2008",Alex Serdyukov,170 lbs.,"6' 2""","74""","May 24, 1980",-0.3333333333333333,9.666666666666666,0,0.3333333333333333,0.3333333333333333,0,3,1,8-5-0,0,0.1111111111111111,Ryan Stonitsch,,,,,,,,,,,,,,,,win,SUB,1,1:35
8008,WEC 34: Faber vs. Pulver,"Jun. 01, 2008",Alex Serdyukov,170 lbs.,"6' 2""","74""","May 24, 1980",-0.25,7.25,0,0.5,0.5,1,4,2,8-5-0,0,0.08333333333333333,Luis Santos,,,,,,,,,,,,,,,,win,KO/TKO,1,5:00
8009,UFC 33: Victory in Vegas,"Sep. 28, 2001",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",-2,-8,0,3,0.0,0,1,0,11-7-0,0,1.0,Yves Edwards,,,,,,,,,,,,,,,,win,M-DEC,3,5:00
8010,UFC 36: Worlds Collide,"Mar. 22, 2002",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",-1,-4,1.5,3,0.5,1,2,1,11-7-0,0,0.5,Kelly Dullanty,,,,,,,,,,,,,,,,win,SUB,1,2:58
8011,UFC 41: Onslaught,"Feb. 28, 2003",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",-0.5,-7.5,1,2.5,0.5,0,4,2,11-7-0,0,0.45,Din Thomas,155 lbs.,"5' 9""",--,"Sep 28, 1976",-0.3333333333333333,-2,1,0.6666666666666666,0.3333333333333333,0,3,1,26-9-0 (1 NC),0,0.5812314399443989,loss,S-DEC,3,5:00
8012,UFC 46: Supernatural,"Jan. 31, 2004",Matt Serra,170 lbs.,"5' 6""","68""","Jun 02, 1974",-0.4,-6.6,1,2,0.4,0,5,2,11-7-0,0,0.42666666666666664,Jeff Curran,,,,,,,,,,,,,,,,win,U-DEC,3,5:00
