id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,JunYong Park,,,,"Feb 27, 1991",0.1111111111111111,14.222222222222221,0.1111111111111111,0.7777777777777778,0.7777777777777778,8,0,18,14,,0,0,2701,1129.7365139882459,991.6054305369101,1,1,4,4,2,2,1,1,1,1,Andre Muniz,,,,"Feb 17, 1990",0.0,1.2222222222222223,0.7777777777777778,0.4444444444444444,0.7777777777777778,0,4,18,14,,0,0,3083,1134.3666301237931,1076.4033110140865,1,1,5,5,3,3,0,0,0,0,unknown,,,
,,unknown,HyunSung Park,,,,"Nov 04, 1995",-0.6666666666666666,6.0,1.0,1.6666666666666667,1.0,6,0,6,6,,0,0,829,1091.3793090097315,1006.510750869661,1,1,2,2,0,0,0,0,0,0,Shannon Ross,,,,"May 12, 1989",-1.6666666666666667,-8.333333333333334,0.0,0.0,0.0,0,6,6,0,,0,0,3350,916.2737445279796,1021.8822255747873,3,3,0,0,0,0,0,0,0,0,unknown,,,
,,unknown,Shannon Ross,,,,"May 12, 1989",-1.6666666666666667,-8.333333333333334,0.0,0.0,0.0,0,6,6,0,,0,0,3350,916.2737445279796,1021.8822255747873,3,3,0,0,0,0,0,0,0,0,HyunSung Park,,,,"Nov 04, 1995",-0.6666666666666666,6.0,1.0,1.6666666666666667,1.0,6,0,6,6,,0,0,829,1091.3793090097315,1006.510750869661,1,1,2,2,0,0,0,0,0,0,unknown,,,
,,unknown,Tatsuro Taira,,,,"Jan 27, 2000",0.0,21.5,1.25,1.0,1.0,8,0,8,8,,0,0,562,1109.314662022434,986.1217099577676,0,0,2,2,2,2,0,0,0,0,Carlos Hernandez,,,,"Oct 25, 1993",0.0,13.25,-1.5,-0.5,0.75,2,0,8,6,,0,0,1702,1049.5501957581976,986.2896633791707,0,0,1,1,1,1,2,2,0,0,unknown,,,
,,unknown,Carlos Hernandez,,,,"Oct 25, 1993",0.0,13.25,-1.5,-0.5,0.75,2,0,8,6,,0,0,1702,1049.5501957581976,986.2896633791707,0,0,1,1,1,1,2,2,0,0,Tatsuro Taira,,,,"Jan 27, 2000",0.0,21.5,1.25,1.0,1.0,8,0,8,8,,0,0,562,1109.314662022434,986.1217099577676,0,0,2,2,2,2,0,0,0,0,unknown,,,
,,unknown,Arman Tsarukyan,,,,"Oct 11, 1996",0.2222222222222222,26.0,2.0,0.0,0.7777777777777778,4,0,18,14,,0,0,620,1161.831356004184,1070.3589591889536,3,3,0,0,6,6,0,0,0,0,Beneil Dariush,,,,"May 06, 1989",0.09090909090909091,10.772727272727273,0.7727272727272727,0.045454545454545456,0.7272727272727273,0,2,44,32,,0,0,3328,1279.458817969478,1105.8137867949447,7,7,6,6,6,6,2,2,0,0,unknown,,,
,,unknown,Beneil Dariush,,,,"May 06, 1989",0.09090909090909091,10.772727272727273,0.7727272727272727,0.045454545454545456,0.7272727272727273,0,2,44,32,,0,0,3328,1279.458817969478,1105.8137867949447,7,7,6,6,6,6,2,2,0,0,Arman Tsarukyan,,,,"Oct 11, 1996",0.2222222222222222,26.0,2.0,0.0,0.7777777777777778,4,0,18,14,,0,0,620,1161.831356004184,1070.3589591889536,3,3,0,0,6,6,0,0,0,0,unknown,,,
,,unknown,Jalin Turner,,,,"May 18, 1995",0.36363636363636365,9.090909090909092,-0.45454545454545453,0.36363636363636365,0.6363636363636364,0,4,22,14,,0,0,1153,1083.9837427771497,1045.0630688150889,5,5,3,3,1,1,2,2,0,0,Bobby Green,,,,"Sep 09, 1986",0.034482758620689655,24.413793103448278,0.10344827586206896,-0.06896551724137931,0.5517241379310345,4,0,58,32,,0,0,4417,1162.0041018278566,1086.3734779500721,6,6,5,5,12,12,4,4,0,0,unknown,,,
,,unknown,Bobby Green,,,,"Sep 09, 1986",0.034482758620689655,24.413793103448278,0.10344827586206896,-0.06896551724137931,0.5517241379310345,4,0,58,32,,0,0,4417,1162.0041018278566,1086.3734779500721,6,6,5,5,12,12,4,4,0,0,Jalin Turner,,,,"May 18, 1995",0.36363636363636365,9.090909090909092,-0.45454545454545453,0.36363636363636365,0.6363636363636364,0,4,22,14,,0,0,1153,1083.9837427771497,1045.0630688150889,5,5,3,3,1,1,2,2,0,0,unknown,,,
,,unknown,Deiveson Figueiredo,,,,"Dec 18, 1987",0.7142857142857143,-4.857142857142857,-0.5,1.2142857142857142,0.7142857142857143,0,2,28,20,,12,6,3693,1197.0109455109077,1120.6271735850282,5,5,4,4,3,3,1,1,0,0,Rob Font,,,,"Jun 25, 1987",0.125,25.5625,-0.75,0.125,0.625,0,2,32,20,,0,0,4065,1144.4930044301414,1108.522059215987,6,6,2,2,8,8,0,0,0,0,unknown,,,
