Red Fighter,Blue Fighter,Predicted Result,Probability
Alessio Di Chirico,Roman Kopylov,loss,0.7679676778412701
Nassourdine Imavov,Joaquin Buckley,loss,0.5494419838883406
Robert Whittaker,Marvin Vettori,loss,0.6879780205780455
Ciryl Gane,Tai Tuivasa,win,0.875395323172277
Jake Collier,Chris Barnett,win,0.696042499517059
Julian Erosa,Hakeem Dawodu,loss,0.6546436505456938
Johnny Walker,Ion Cutelaba,loss,0.5319794697788898
Macy Chiasson,Irene Aldana,loss,0.5246757318141304
Li Jingliang,Daniel Rodriguez,loss,0.5405397046516527
Kevin Holland,Khamzat Chimaev,loss,0.8764755627984518
Tony Ferguson,Nate Diaz,loss,0.5009249794710454
Gillian Robertson,Mariya Agapova,win,0.6410571173425332
Pat Sabatini,Damon Jackson,loss,0.5377453942914471
Marc-Andre Barriault,Anthony Hernandez,loss,0.5839958752547221
Rodrigo Nascimento,Tanner Boser,loss,0.6785266772539986
Bill Algeo,Andre Fili,win,0.7388807175572325
Chidi Njokuani,Gregory Rodrigues,loss,0.6128229217464742
Cory Sandhagen,Song Yadong,loss,0.6136708583086147
Randy Costa,Guido Cannetti,win,0.512308147670087
Brendan Allen,Krzysztof Jotko,loss,0.5324680600778575
Joaquim Silva,Jesse Ronson,loss,0.4630223594497257
Aleksei Oleinik,Ilir Latifi,win,0.5364926891695825
Mike Davis,Viacheslav Borshchev,win,0.8468524099946797
Raoni Barcelos,Trevin Jones,loss,0.5266059679462205
Randy Brown,Francisco Trinaldo,win,0.5859441329374838
Mackenzie Dern,Yan Xiaonan,loss,0.7030778113739953
Nick Maximov,Jacob Malkoun,loss,0.5266102400405277
Brandon Davis,Mana Martinez,loss,0.7356148123151607
Misha Cirkunov,Alonzo Menifield,loss,0.6147157524971333
Dusko Todorovic,Jordan Wright,win,0.5785309570272998
Cub Swanson,Jonathan Martinez,loss,0.509926815891924
Alexa Grasso,Viviane Araujo,win,0.5321360967090462
Lina Lansberg,Karol Rosa,loss,0.8358459110924956
Muhammad Mokaev,Malcolm Gordon,win,0.7775676338861506
Nikita Krylov,Volkan Oezdemir,loss,0.5768215139782041
Caio Borralho,Makhmud Muradov,loss,0.6874283233530378
Sean Brady,Belal Muhammad,win,0.5854844795546096
Katlyn Cerminara,Manon Fiorot,win,0.507103891994483
Beneil Dariush,Mateusz Gamrot,loss,0.5272693284788162
Petr Yan,Sean O'Malley,loss,0.5425357650175132
TJ Dillashaw,Aljamain Sterling,loss,0.5149662364181212
Charles Oliveira,Islam Makhachev,loss,0.9081188077896825
Steve Garcia,Chase Hooper,win,0.7495462873005815
Joseph Holmes,JunYong Park,loss,0.7998905922519506
Marcos Rogerio de Lima,Andrei Arlovski,win,0.47290355407880114
Phil Hawes,Roman Dolidze,win,0.6472096357750408
Khalil Rountree Jr.,Dustin Jacoby,loss,0.7091778430213046
Max Griffin,Tim Means,win,0.5109389326214129
Arnold Allen,Calvin Kattar,win,0.5531668016007487
Jinh Yu Frey,Polyana Viana,loss,0.5403448123176274
Mario Bautista,Benito Lopez,win,0.7056402883695884
Shanna Young,Miranda Maverick,loss,0.6043373997451648
Mark Madsen,Grant Dawson,loss,0.5687593882505884
Nate Maness,Tagir Ulanbekov,win,0.6115790384468764
Darrick Minner,Shayilan Nuerdanbieke,win,0.7295096225242775
Daniel Rodriguez,Neil Magny,win,0.6531518564327583
Marina Rodriguez,Amanda Lemos,loss,0.7281484859119075
Nicolae Negumereanu,Carlos Ulberg,loss,0.5555060640843976
Julio Arce,Montel Jackson,win,0.6444506896080093
Michael Trizano,SeungWoo Choi,loss,0.6730251368750702
Silvana Gomez Juarez,Karolina Kowalkiewicz,win,0.5269063829928822
Matt Frevola,Ottman Azaitar,loss,0.5683451812520661
Wellington Turman,Andre Petroski,loss,0.5603997809619493
Molly McCann,Erin Blanchfield,loss,0.7375023816127282
Ryan Spann,Dominick Reyes,loss,0.6417301811398487
Brad Riddell,Renato Moicano,win,0.5242346538118096
Claudio Puelles,Dan Hooker,loss,0.507077001684433
Frankie Edgar,Chris Gutierrez,loss,0.5069485113785501
Michael Chandler,Dustin Poirier,win,0.5116762073152172
Zhang Weili,Carla Esparza,win,0.7336347121793716
Alex Pereira,Israel Adesanya,win,0.6980777143238819
Vanessa Demopoulos,Maria Oliveira,win,0.6803796093323429
Kevin Natividad,Ricky Turcios,loss,0.5883842665304874
Vince Morales,Miles Johns,loss,0.5338569961157233
Jennifer Maia,Maryna Moroz,loss,0.7129336480076001
Danny Roberts,Jack Della Maddalena,loss,0.5297876379585494
Andre Fialho,Muslim Salikhov,loss,0.5724277331403519
