id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
33,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Steve Jennum,215 lbs.,"5' 10""",--,--,0,6.666666666666667,1.3333333333333333,-0.3333333333333333,1.0,3,0,3,3,2-3-0,2,2,1825.0,1045.860114141141,984.958730884127,Melton Bowen,225 lbs.,"6' 0""",--,"Jul 16, 1969",0,-12,-2,-1,0.0,0,1,1,0,0-1-0,0,0,159.0,985.4374186863346,1045.860114141141,win,SUB,1,4:47
34,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Guy Mezger,200 lbs.,"6' 1""",--,"Jan 01, 1968",-1,10,1,0,1.0,1,0,1,1,30-14-2,0,0,721.0,1016.0,984.0,Jason Fairn,230 lbs.,"6' 1""",--,--,1,-10,-1,0,0.0,0,1,1,0,4-5-0,0,0,1825.0,984.0,1016.0,win,KO/TKO,1,2:13
35,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Kevin Rosier,275 lbs.,"6' 4""",--,--,0.75,-1.25,0,0,0.5,0,1,4,2,2-6-0,0,0,1825.0,997.2237161984541,992.6940709503864,Joe Charles,260 lbs.,"6' 1""",--,--,0,0,0,0,1.0,1,0,1,1,6-13-0,0,0,1825.0,1016.6380179535549,997.2237161984541,loss,SUB,1,0:14
36,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1.6666666666666667,1.3333333333333333,-0.3333333333333333,0.6666666666666666,1,0,3,2,101-19-1,1,0,4215.0,1022.3296913908187,1048.9950313235706,Marcus Bossett,215 lbs.,"6' 1""",--,--,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.6666666666666666,2,0,3,2,1-3-0,0,0,1825.0,1015.9323408595197,989.1104507823194,win,SUB,1,0:52
37,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-1.5,1.25,0,0.75,2,0,4,3,101-19-1,1,0,4215.0,1038.0351158017331,1036.8030026048293,Anthony Macias,185 lbs.,"5' 9""",--,--,0,8,-2,-1,0.0,0,1,1,0,26-18-0,0,0,1825.0,984.3055259056302,1022.3296913908187,win,SUB,1,1:45
38,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Joe Son,236 lbs.,"5' 4""",--,"Nov 22, 1970",0,-8,1,0,0.0,0,1,1,0,0-4-0,0,0,335.0,984.9644199022919,1036.003110092733,Keith Hackney,200 lbs.,"5' 11""",--,--,0.5,16.75,-0.25,-0.75,0.75,1,0,4,3,2-2-0,0,0,1825.0,1036.003110092733,1031.669114493087,loss,SUB,1,2:44
39,UFC 4: Revenge of the Warriors,"Dec. 16, 1994",Ron van Clief,190 lbs.,"5' 10""",--,"Jan 25, 1943",0,-7,-1,-1,0.0,0,1,1,0,0-1-0,0,0,9828.0,991.9096560240838,1196.3328805169972,Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,0.29411764705882354,0.35294117647058826,1.1764705882352942,1.0,17,0,17,17,15-2-3,4,4,1106.0,1196.3328805169972,990.3976628735201,loss,SUB,1,3:49
40,UFC 5: The Return of the Beast,"Apr. 07, 1995",Asbel Cancio,225 lbs.,"5' 10""",--,--,0,-12,-1,0,0.0,0,1,1,0,0-1-0,0,0,1825.0,984.1375058108713,1018.848468448601,Dave Beneteau,250 lbs.,"6' 2""",--,--,0,6.666666666666667,0.3333333333333333,-0.3333333333333333,0.6666666666666666,2,0,3,2,6-5-1,1,0,1825.0,1018.848468448601,1010.9106154624291,loss,KO/TKO,1,0:21
41,UFC 5: The Return of the Beast,"Apr. 07, 1995",Joe Charles,260 lbs.,"6' 1""",--,--,0,0,0,0,1.0,2,0,2,2,6-13-0,0,0,1825.0,1031.7448857096363,989.6702823204134,Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,-2.3333333333333335,1.3333333333333333,0.3333333333333333,0.8333333333333334,4,0,6,5,101-19-1,2,1,4327.0,1065.2222523627818,1017.3883999606497,loss,SUB,1,1:38
42,UFC 5: The Return of the Beast,"Apr. 07, 1995",Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,0.6666666666666666,0.3888888888888889,1.1666666666666667,1.0,18,0,18,18,15-2-3,4,4,1106.0,1203.8732394366598,990.0627536641257,Ken Shamrock,205 lbs.,"6' 1""","72""","Feb 11, 1964",0,1.25,0.75,0.5,0.75,6,0,8,6,28-17-2,0,0,2043.0,1063.5892022255207,999.2052917004299,draw,Other,2,5:00
